PHYSICAL_CITY,year,how_many,avg_sale_price,avg_sqft
ANGIER,2023,4,415000.000000000000,2756.0000000000000000
APEX,2023,327,546955.657492354740,2407.1804281345565749
CARY,2023,406,572084.975369458128,2359.8522167487684729
CLAYTON,2023,2,297500.000000000000,2162.5000000000000000
CREEDMOOR,2023,1,395000.000000000000,1813.0000000000000000
DURHAM,2023,2,450000.000000000000,1940.0000000000000000
FUQUAY VARINA,2023,427,453610.060889929742,2272.3185011709601874
GARNER,2023,165,390287.878787878788,2158.1818181818181818
HOLLY SPRINGS,2023,218,563878.440366972477,2597.5229357798165138
KNIGHTDALE,2023,139,375546.762589928058,2090.4604316546762590
MORRISVILLE,2023,52,513884.615384615385,2205.5961538461538462
NEW HILL,2023,46,638989.130434782609,2878.7173913043478261
RALEIGH,2023,1452,444484.022038567493,2054.9690082644628099
ROLESVILLE,2023,21,493500.000000000000,2522.8095238095238095
WAKE FOREST,2023,309,536796.116504854369,2588.5922330097087379
WENDELL,2023,129,420892.248062015504,1989.5426356589147287
WILLOW SPRING,2023,39,439346.153846153846,2373.7179487179487179
ZEBULON,2023,102,332322.549019607843,1984.5196078431372549
ANGIER,2022,39,410410.256410256410,2427.1282051282051282
APEX,2022,1754,576466.248574686431,2488.4635119726339795
CARY,2022,2074,571870.925747348120,2336.7738669238187078
CLAYTON,2022,14,364457.142857142857,1713.6428571428571429
CREEDMOOR,2022,1,185000.000000000000,1020.0000000000000000
DURHAM,2022,31,450354.838709677419,2012.9677419354838710
FUQUAY VARINA,2022,2059,474294.606119475474,2364.1500728508984944
GARNER,2022,802,404579.426433915212,2132.1521197007481297
HOLLY SPRINGS,2022,1224,590925.980392156863,2721.3856209150326797
KNIGHTDALE,2022,577,394070.190641247834,2112.8665511265164645
MORRISVILLE,2022,297,564651.178451178451,2365.3670033670033670
NEW HILL,2022,118,609259.322033898305,2830.4322033898305085
RALEIGH,2022,6542,464271.767043717518,2061.2561907673494344
ROLESVILLE,2022,221,516183.257918552036,2588.9638009049773756
WAKE FOREST,2022,1478,540066.035182679296,2625.5534506089309878
WENDELL,2022,708,407569.056497175141,1963.1327683615819209
WILLOW SPRING,2022,256,457121.093750000000,2433.1289062500000000
YOUNGSVILLE,2022,8,263125.000000000000,1283.7500000000000000
ZEBULON,2022,527,357341.366223908918,2030.3662239089184061
ANGIER,2021,107,316350.467289719626,2433.3084112149532710
APEX,2021,2433,501706.083025071928,2701.4064940402794903
CARY,2021,2768,494058.742774566474,2501.8453757225433526
CLAYTON,2021,20,287125.000000000000,1698.3000000000000000
CREEDMOOR,2021,2,321500.000000000000,2856.5000000000000000
DURHAM,2021,9,332944.444444444444,1821.7777777777777778
FUQUAY VARINA,2021,2145,380205.360839160839,2324.3193473193473193
GARNER,2021,814,324665.700245700246,2019.7579852579852580
HOLLY SPRINGS,2021,1587,476195.330812854442,2710.6723377441713926
KNIGHTDALE,2021,650,317365.823076923077,2017.2323076923076923
MORRISVILLE,2021,453,447421.854304635762,2329.7924944812362031
NEW HILL,2021,238,509651.260504201681,3047.5420168067226891
RALEIGH,2021,8569,399701.264091492590,2105.9775936515346015
ROLESVILLE,2021,271,429109.225092250923,2656.9077490774907749
WAKE FOREST,2021,1898,456250.210748155954,2664.5400421496311907
WENDELL,2021,595,338443.097478991597,2000.2756302521008403
WILLOW SPRING,2021,266,383050.000000000000,2455.9172932330827068
YOUNGSVILLE,2021,7,195000.000000000000,1167.1428571428571429
ZEBULON,2021,539,286205.794063079777,2030.8404452690166976
ANGIER,2020,51,288598.039215686275,2420.5686274509803922
APEX,2020,2645,434814.322495274102,2712.4272211720226843
CARY,2020,2483,430565.283930728957,2567.0567861457913814
CLAYTON,2020,20,262075.000000000000,1846.9000000000000000
CREEDMOOR,2020,1,390000.000000000000,2224.0000000000000000
DURHAM,2020,25,320600.000000000000,1902.1600000000000000
FUQUAY VARINA,2020,1571,325672.155315085933,2319.5582431572246976
GARNER,2020,656,276837.896341463415,2080.9344512195121951
HOLLY SPRINGS,2020,1431,410445.772187281621,2698.8134171907756813
KNIGHTDALE,2020,675,273940.165925925926,2152.9214814814814815
MORRISVILLE,2020,367,360026.158038147139,2232.3869209809264305
NEW HILL,2020,261,441978.927203065134,2852.9770114942528736
RALEIGH,2020,7393,364560.496550791289,2216.6242391451372920
ROLESVILLE,2020,265,366919.622641509434,2694.6943396226415094
WAKE FOREST,2020,1762,402512.145289443814,2734.4301929625425653
WENDELL,2020,554,283861.913357400722,2004.2779783393501805
WILLOW SPRING,2020,191,307775.392670157068,2290.5863874345549738
YOUNGSVILLE,2020,6,203083.333333333333,1369.6666666666666667
ZEBULON,2020,526,251483.564638783270,2040.7091254752851711
ANGIER,2019,15,277866.666666666667,2700.2666666666666667
APEX,2019,2287,419293.867949278531,2739.8237866200262352
CARY,2019,2375,424056.294736842105,2602.3726315789473684
CLAYTON,2019,12,214708.333333333333,1846.7500000000000000
CREEDMOOR,2019,1,195000.000000000000,1950.0000000000000000
DURHAM,2019,11,304772.727272727273,1869.3636363636363636
FUQUAY VARINA,2019,1134,312492.254850088183,2331.7892416225749559
GARNER,2019,530,261039.675471698113,2122.2830188679245283
HOLLY SPRINGS,2019,1019,386438.193326790972,2675.7212953876349362
KNIGHTDALE,2019,608,268790.930921052632,2222.6052631578947368
MORRISVILLE,2019,337,347421.982195845697,2288.1424332344213650
NEW HILL,2019,253,390796.442687747036,2660.3003952569169960
RALEIGH,2019,6652,337406.542543595911,2184.7645820805772700
ROLESVILLE,2019,208,357276.442307692308,2785.5384615384615385
WAKE FOREST,2019,1646,369018.883961117861,2648.1567436208991495
WENDELL,2019,523,258431.617590822180,1977.4263862332695985
WILLOW SPRING,2019,170,302065.882352941176,2329.7705882352941176
YOUNGSVILLE,2019,6,209916.666666666667,1536.8333333333333333
ZEBULON,2019,343,245507.463556851312,2133.0962099125364431
ANGIER,2018,9,281277.777777777778,2879.4444444444444444
APEX,2018,1936,401137.861570247934,2686.3801652892561983
CARY,2018,2184,418272.206959706960,2660.0599816849816850
CLAYTON,2018,11,197500.000000000000,2176.0909090909090909
CREEDMOOR,2018,1,253500.000000000000,1851.0000000000000000
DURHAM,2018,4,288000.000000000000,1770.7500000000000000
FUQUAY VARINA,2018,989,300108.948432760364,2311.0222446916076845
GARNER,2018,495,244337.373737373737,2113.2080808080808081
HOLLY SPRINGS,2018,962,360612.889812889813,2592.9449064449064449
KNIGHTDALE,2018,488,255062.090163934426,2244.4692622950819672
MORRISVILLE,2018,406,349199.507389162562,2323.1428571428571429
NEW HILL,2018,64,446039.062500000000,2988.4375000000000000
RALEIGH,2018,6056,333046.634412153236,2251.7613936591809775
ROLESVILLE,2018,213,345089.201877934272,2850.6478873239436620
WAKE FOREST,2018,1421,356845.814215341309,2630.4869809992962702
WENDELL,2018,380,246565.000000000000,2014.7657894736842105
WILLOW SPRING,2018,125,271077.600000000000,2243.0080000000000000
YOUNGSVILLE,2018,4,244500.000000000000,1530.0000000000000000
ZEBULON,2018,213,229404.028169014085,2127.1032863849765258
ANGIER,2017,16,243218.750000000000,2381.5000000000000000
APEX,2017,1659,388027.878239903556,2670.0132610006027728
CARY,2017,2233,396938.244514106583,2639.0640394088669951
CLAYTON,2017,10,205000.000000000000,1827.8000000000000000
DURHAM,2017,6,275916.666666666667,1740.8333333333333333
FUQUAY VARINA,2017,934,281404.710920770878,2315.9218415417558887
GARNER,2017,430,222477.209302325581,2099.1441860465116279
HOLLY SPRINGS,2017,910,364298.901098901099,2668.5197802197802198
KNIGHTDALE,2017,583,241880.891938250429,2249.0771869639794168
MORRISVILLE,2017,425,350127.294117647059,2354.2282352941176471
NEW HILL,2017,71,459492.957746478873,3300.6760563380281690
RALEIGH,2017,5783,309830.909562510808,2240.3311430053605395
ROLESVILLE,2017,201,331762.189054726368,2816.4427860696517413
WAKE FOREST,2017,1213,341896.372629843364,2678.4253915910964551
WENDELL,2017,319,231670.532915360502,2017.7586206896551724
WILLOW SPRING,2017,132,252143.939393939394,2241.7348484848484848
ZEBULON,2017,191,210678.010471204188,2023.7905759162303665
ANGIER,2016,18,264583.333333333333,2781.8888888888888889
APEX,2016,1408,369858.664772727273,2678.9843750000000000
CARY,2016,2172,372115.569521178637,2584.6418047882136280
CLAYTON,2016,11,181227.272727272727,1748.5454545454545455
CREEDMOOR,2016,1,350000.000000000000,2440.0000000000000000
DURHAM,2016,36,252722.222222222222,1779.5277777777777778
FUQUAY VARINA,2016,889,269946.906636670416,2369.2260967379077615
GARNER,2016,342,211633.625730994152,2034.0409356725146199
HOLLY SPRINGS,2016,812,338761.822660098522,2581.9802955665024631
KNIGHTDALE,2016,447,223488.814317673378,2205.3825503355704698
MORRISVILLE,2016,423,306252.955082742317,2184.8557919621749409
NEW HILL,2016,18,426861.111111111111,3330.2777777777777778
RALEIGH,2016,5282,288446.825066262779,2201.3091631957591821
ROLESVILLE,2016,180,313405.555555555556,2701.7666666666666667
WAKE FOREST,2016,1020,324964.672549019608,2658.3029411764705882
WENDELL,2016,300,212205.906666666667,2033.0533333333333333
WILLOW SPRING,2016,94,232074.468085106383,2134.8936170212765957
YOUNGSVILLE,2016,5,131000.000000000000,1226.2000000000000000
ZEBULON,2016,158,201974.050632911392,2089.1012658227848101
ANGIER,2015,20,262100.000000000000,2863.3000000000000000
APEX,2015,1177,332418.011894647409,2573.3823279524214104
CARY,2015,1981,356557.042402826855,2582.2821807168096921
CLAYTON,2015,14,150250.000000000000,1810.2857142857142857
CREEDMOOR,2015,1,28500.000000000000,1624.0000000000000000
DURHAM,2015,27,238629.629629629630,1737.2222222222222222
FUQUAY VARINA,2015,770,252426.493506493506,2337.2870129870129870
GARNER,2015,291,190929.896907216495,2001.7972508591065292
HOLLY SPRINGS,2015,699,311939.198855507868,2586.6938483547925608
KNIGHTDALE,2015,394,212584.517766497462,2245.4213197969543147
MORRISVILLE,2015,456,302541.666666666667,2275.7346491228070175
RALEIGH,2015,4739,275034.794260392488,2202.3549271998311880
ROLESVILLE,2015,161,299086.552795031056,2658.2484472049689441
WAKE FOREST,2015,878,313185.649202733485,2643.0125284738041002
WENDELL,2015,137,161529.197080291971,1762.2189781021897810
WILLOW SPRING,2015,116,223592.353448275862,2162.3189655172413793
YOUNGSVILLE,2015,1,126500.000000000000,1199.0000000000000000
ZEBULON,2015,152,189634.210526315789,2065.7631578947368421
ANGIER,2014,20,206350.000000000000,2271.9500000000000000
APEX,2014,944,320126.588983050847,2617.3824152542372881
CARY,2014,1735,342060.518731988473,2641.6697406340057637
CLAYTON,2014,8,143062.500000000000,1639.6250000000000000
DURHAM,2014,8,223000.000000000000,1737.6250000000000000
FUQUAY VARINA,2014,608,227076.687500000000,2252.9654605263157895
GARNER,2014,305,183516.393442622951,2022.3573770491803279
HOLLY SPRINGS,2014,485,283632.989690721649,2516.3257731958762887
KNIGHTDALE,2014,315,190422.857142857143,2133.4031746031746032
MORRISVILLE,2014,399,310068.922305764411,2529.1453634085213033
NEW HILL,2014,1,173900.000000000000,1867.0000000000000000
RALEIGH,2014,4050,262695.703703703704,2209.5948148148148148
ROLESVILLE,2014,181,317870.165745856354,2788.0331491712707182
WAKE FOREST,2014,762,293966.535433070866,2617.3832020997375328
WENDELL,2014,108,144912.037037037037,1741.2222222222222222
WILLOW SPRING,2014,79,214373.417721518987,2160.7594936708860759
YOUNGSVILLE,2014,7,117214.285714285714,1335.4285714285714286
ZEBULON,2014,126,171337.301587301587,1949.0555555555555556
ANGIER,2013,17,212852.941176470588,2713.9411764705882353
APEX,2013,894,309436.800894854586,2672.2740492170022371
CARY,2013,1570,320121.656050955414,2602.8235668789808917
CLAYTON,2013,6,115833.333333333333,1558.0000000000000000
CREEDMOOR,2013,1,167500.000000000000,1605.0000000000000000
FUQUAY VARINA,2013,594,215761.784511784512,2220.4444444444444444
GARNER,2013,231,176915.151515151515,2014.1428571428571429
HOLLY SPRINGS,2013,464,271235.991379310345,2486.3038793103448276
KNIGHTDALE,2013,242,176208.173553719008,2099.2148760330578512
MORRISVILLE,2013,358,279053.072625698324,2486.5474860335195531
NEW HILL,2013,2,131500.000000000000,1762.5000000000000000
RALEIGH,2013,3794,252952.029520295203,2226.3700579862941487
ROLESVILLE,2013,157,286502.547770700637,2652.3057324840764331
WAKE FOREST,2013,594,297866.666666666667,2719.0538720538720539
WENDELL,2013,88,134187.500000000000,1657.0681818181818182
WILLOW SPRING,2013,88,192806.818181818182,1972.5227272727272727
YOUNGSVILLE,2013,2,116500.000000000000,1143.0000000000000000
ZEBULON,2013,87,178416.091954022989,1972.9655172413793103
ANGIER,2012,1,168000.000000000000,2043.0000000000000000
APEX,2012,493,288829.395537525355,2591.6734279918864097
CARY,2012,1063,322394.637817497648,2692.0000000000000000
CLAYTON,2012,5,142900.000000000000,1479.6000000000000000
FUQUAY VARINA,2012,289,217245.674740484429,2233.6851211072664360
GARNER,2012,173,171726.693641618497,1983.1618497109826590
HOLLY SPRINGS,2012,352,260975.852272727273,2534.7585227272727273
KNIGHTDALE,2012,196,174609.693877551020,2108.4132653061224490
MORRISVILLE,2012,339,261268.436578171091,2372.5899705014749263
RALEIGH,2012,2592,254074.020447530864,2279.6215277777777778
ROLESVILLE,2012,75,252873.333333333333,2680.1600000000000000
WAKE FOREST,2012,498,289515.971887550201,2695.5200803212851406
WENDELL,2012,70,135278.571428571429,1640.0142857142857143
WILLOW SPRING,2012,48,194229.166666666667,2108.2291666666666667
YOUNGSVILLE,2012,2,115250.000000000000,1440.0000000000000000
ZEBULON,2012,64,165710.937500000000,1966.9375000000000000
