physical_city,year,average_sales_price,average_sqfeet,population
ANGIER,2021,316350.467289719626,2433.3084112149532710,694
APEX,2021,501706.083025071928,2701.4064940402794903,61446
CARY,2021,494058.742774566474,2501.8453757225433526,173852
CLAYTON,2021,287125.000000000000,1698.3000000000000000,0
CREEDMOOR,2021,321500.000000000000,2856.5000000000000000,0
DURHAM,2021,332944.444444444444,1821.7777777777777778,274
FUQUAY VARINA,2021,380205.360839160839,2324.3193473193473193,36017
GARNER,2021,324665.700245700246,2019.7579852579852580,32332
HOLLY SPRINGS,2021,476195.330812854442,2710.6723377441713926,43269
KNIGHTDALE,2021,317365.823076923077,2017.2323076923076923,19674
MORRISVILLE,2021,447421.854304635762,2329.7924944812362031,31253
NEW HILL,2021,509651.260504201681,3047.5420168067226891,0
RALEIGH,2021,399701.264091492590,2105.9775936515346015,470566
ROLESVILLE,2021,429109.225092250923,2656.9077490774907749,9894
WAKE FOREST,2021,456250.210748155954,2664.5400421496311907,47163
WENDELL,2021,338443.097478991597,2000.2756302521008403,10694
WILLOW SPRING,2021,383050.000000000000,2455.9172932330827068,0
YOUNGSVILLE,2021,195000.000000000000,1167.1428571428571429,0
ZEBULON,2021,286205.794063079777,2030.8404452690166976,7436
